시점,행정구역(시군구)별,성별,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2021,순창군,계,27208.5,1116,871,817,1051,2172.5,2039,2010,3204.5,1840,1364.5,956,325,70,13.5
2021,순창군,여자,13905,489.5,382,423,529,1105,1113,1266.5,2194.5,1220,974.5,667,237,57.5,13
2021,고창군,계,53647.5,2293.5,1854.5,1623,2050,4377,4231.5,3983,6254,3435.5,2818.5,1945.5,708,143,22
2021,고창군,여자,27041.5,965.5,806,760.5,930.5,2247.5,2237,2394,4385,2270.5,2114.5,1393,576,124.5,21
2021,부안군,계,51137,2300.5,1825.5,1618,2113.5,4367,4095.5,3561.5,5339,2941.5,2397.5,1744.5,549.5,85.5,18
2021,부안군,여자,25714,1006,789.5,713.5,1001.5,2221,2201.5,2115.5,3703.5,1906.5,1797,1270,440.5,69.5,17
2021,전라남도,계,1833020.5,103290.5,93381,79697,101498,118072.5,103131.5,87982,129093.5,73824,55269.5,38416,13524.5,2904.5,424.5
2021,전라남도,여자,910990.5,45706.5,41030,37594.5,48215.5,59489.5,54374.5,52355,90263.5,48629.5,41634,28044.5,10760,2452,377.5
2021,목포시,계,220005,14509,12070,10028,14498.5,12184.5,10016,7666,8297,5075,3222,2262.5,772.5,167,20
2021,목포시,여자,110500,6599.5,5612.5,4865.5,7024.5,6427,5435.5,4406.5,5613,3222,2391,1620,610.5,143.5,17
2021,여수시,계,277234,17031,16084.5,13402.5,16775.5,17820,14440.5,10279.5,12639,7327.5,5311.5,3630.5,1351,292,38
2021,여수시,여자,135841.5,7540.5,6758.5,6091.5,7870,9037.5,7466,5893,8649,4646.5,4002.5,2611,1103,254.5,34
2021,순천시,계,280802.5,19180,17913.5,14847.5,17948,13916.5,10894.5,8183,12053,6634,5419,3755.5,1321.5,294,48
2021,순천시,여자,140677,8768,8182.5,7093.5,8828.5,6930,5679,4796.5,8319,4268.5,4050.5,2710.5,1043,251.5,45.5
2021,나주시,계,115642.5,5634,6644,6603.5,7851.5,6998,5983.5,5408,7817,4423,3394,2347,854.5,165,27.5
2021,나주시,여자,57331.5,2615,3174,3173,3731,3502.5,3138.5,3252,5537,2984.5,2552.5,1722.5,685,122.5,22.5
2021,광양시,계,150676.5,10140.5,9560.5,8224.5,9993.5,6737,4878,3371.5,5535.5,3032.5,2503,1696,644.5,149.5,13
2021,광양시,여자,72047,4323,3901,3771,4669,3203,2496,2030.5,3900.5,1989.5,1911,1235.5,529.5,134,12
